Commodity Code,Commodity Name,Substance,"Unit, purchaser price",Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins
313TT,Textile mills and textile product mills,carbon dioxide,"kg/2018 USD, purchaser price",0.272,0.05,0.322
313TT,Textile mills and textile product mills,methane,"kg/2018 USD, purchaser price",0.002,0,0.002
313TT,Textile mills and textile product mills,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
313TT,Textile mills and textile product mills,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0,0.005
315AL,Apparel and leather and allied products,carbon dioxide,"kg/2018 USD, purchaser price",0.078,0.305,0.383
315AL,Apparel and leather and allied products,methane,"kg/2018 USD, purchaser price",0.001,0.002,0.002
315AL,Apparel and leather and allied products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
315AL,Apparel and leather and allied products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002
321,Wood products,carbon dioxide,"kg/2018 USD, purchaser price",0.189,0.029,0.218
321,Wood products,methane,"kg/2018 USD, purchaser price",0.001,0,0.001
321,Wood products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
321,Wood products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.01,0,0.01
322,Paper products,carbon dioxide,"kg/2018 USD, purchaser price",0.345,0.021,0.366
322,Paper products,methane,"kg/2018 USD, purchaser price",0.001,0,0.001
322,Paper products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
322,Paper products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0,0.005
323,Printing and related support activities,carbon dioxide,"kg/2018 USD, purchaser price",0.21,0.02,0.23
323,Printing and related support activities,methane,"kg/2018 USD, purchaser price",0.001,0,0.001
323,Printing and related support activities,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
323,Printing and related support activities,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004
324,Petroleum and coal products,carbon dioxide,"kg/2018 USD, purchaser price",0.755,0.018,0.773
324,Petroleum and coal products,methane,"kg/2018 USD, purchaser price",0.018,0,0.018
324,Petroleum and coal products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
324,Petroleum and coal products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0,0.005
325,Chemical products,carbon dioxide,"kg/2018 USD, purchaser price",0.282,0.013,0.295
325,Chemical products,methane,"kg/2018 USD, purchaser price",0.001,0,0.001
325,Chemical products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
325,Chemical products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.01,0,0.01
326,Plastics and rubber products,carbon dioxide,"kg/2018 USD, purchaser price",0.164,0.009,0.173
326,Plastics and rubber products,methane,"kg/2018 USD, purchaser price",0.001,0,0.001
326,Plastics and rubber products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
326,Plastics and rubber products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.011,0,0.011
327,Nonmetallic mineral products,carbon dioxide,"kg/2018 USD, purchaser price",0.499,0.039,0.538
327,Nonmetallic mineral products,methane,"kg/2018 USD, purchaser price",0.001,0,0.002
327,Nonmetallic mineral products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
327,Nonmetallic mineral products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004
331,Primary metals,carbon dioxide,"kg/2018 USD, purchaser price",0.058,0.002,0.06
331,Primary metals,methane,"kg/2018 USD, purchaser price",0,0,0
331,Primary metals,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
331,Primary metals,other GHGs,"kg CO2e/2018 USD, purchaser price",0.021,0,0.021
332,Fabricated metal products,carbon dioxide,"kg/2018 USD, purchaser price",0.225,0.015,0.239
332,Fabricated metal products,methane,"kg/2018 USD, purchaser price",0.001,0,0.001
332,Fabricated metal products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
332,Fabricated metal products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.008,0,0.008
333,Machinery,carbon dioxide,"kg/2018 USD, purchaser price",0.167,0.019,0.185
333,Machinery,methane,"kg/2018 USD, purchaser price",0.001,0,0.001
333,Machinery,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
333,Machinery,other GHGs,"kg CO2e/2018 USD, purchaser price",0.043,0,0.043
334,Computer and electronic products,carbon dioxide,"kg/2018 USD, purchaser price",0.043,0.022,0.064
334,Computer and electronic products,methane,"kg/2018 USD, purchaser price",0,0,0
334,Computer and electronic products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
334,Computer and electronic products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.015,0,0.015
335,Electrical equipment appliances and components,carbon dioxide,"kg/2018 USD, purchaser price",0.197,0.034,0.232
335,Electrical equipment appliances and components,methane,"kg/2018 USD, purchaser price",0.001,0,0.001
335,Electrical equipment appliances and components,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
335,Electrical equipment appliances and components,other GHGs,"kg CO2e/2018 USD, purchaser price",0.011,0,0.011
3361MV,Motor vehicles trailers and parts,carbon dioxide,"kg/2018 USD, purchaser price",0.174,0.015,0.188
3361MV,Motor vehicles trailers and parts,methane,"kg/2018 USD, purchaser price",0.001,0,0.001
3361MV,Motor vehicles trailers and parts,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
3361MV,Motor vehicles trailers and parts,other GHGs,"kg CO2e/2018 USD, purchaser price",0.019,0,0.019
3364OT,Other transportation equipment,carbon dioxide,"kg/2018 USD, purchaser price",0.084,0.006,0.09
3364OT,Other transportation equipment,methane,"kg/2018 USD, purchaser price",0,0,0
3364OT,Other transportation equipment,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
3364OT,Other transportation equipment,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0,0.005
337,Furniture and related products,carbon dioxide,"kg/2018 USD, purchaser price",0.159,0.087,0.246
337,Furniture and related products,methane,"kg/2018 USD, purchaser price",0.001,0.001,0.001
337,Furniture and related products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
337,Furniture and related products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.021,0,0.021
339,Miscellaneous manufacturing,carbon dioxide,"kg/2018 USD, purchaser price",0.158,0.069,0.227
339,Miscellaneous manufacturing,methane,"kg/2018 USD, purchaser price",0.001,0.001,0.001
339,Miscellaneous manufacturing,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
339,Miscellaneous manufacturing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0,0.005
42,Wholesale trade,carbon dioxide,"kg/2018 USD, purchaser price",0.113,0,0.113
42,Wholesale trade,methane,"kg/2018 USD, purchaser price",0.001,0,0.001
42,Wholesale trade,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
42,Wholesale trade,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0,0.003
441,Motor vehicle and parts dealers,carbon dioxide,"kg/2018 USD, purchaser price",0.12,0,0.12
441,Motor vehicle and parts dealers,methane,"kg/2018 USD, purchaser price",0.001,0,0.001
441,Motor vehicle and parts dealers,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
441,Motor vehicle and parts dealers,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002
445,Food and beverage stores,carbon dioxide,"kg/2018 USD, purchaser price",0.219,0,0.219
445,Food and beverage stores,methane,"kg/2018 USD, purchaser price",0.001,0,0.001
445,Food and beverage stores,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
445,Food and beverage stores,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004
452,General merchandise stores,carbon dioxide,"kg/2018 USD, purchaser price",0.15,0,0.15
452,General merchandise stores,methane,"kg/2018 USD, purchaser price",0.001,0,0.001
452,General merchandise stores,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
452,General merchandise stores,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002
481,Air transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.871,0,0.871
481,Air transportation,methane,"kg/2018 USD, purchaser price",0.002,0,0.002
481,Air transportation,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
481,Air transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002
482,Rail transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.693,0,0.693
482,Rail transportation,methane,"kg/2018 USD, purchaser price",0.001,0,0.001
482,Rail transportation,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
482,Rail transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004
483,Water transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.635,0,0.635
483,Water transportation,methane,"kg/2018 USD, purchaser price",0.002,0,0.002
483,Water transportation,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
483,Water transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.057,0,0.057
484,Truck transportation,carbon dioxide,"kg/2018 USD, purchaser price",1.318,0,1.318
484,Truck transportation,methane,"kg/2018 USD, purchaser price",0.002,0,0.002
484,Truck transportation,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
